geo,TIME_PERIOD,Passengers_Mil_KM,km_railways,population,GDP_Capita,area,cars_per_capita,fuel_price,passengers_per_capita,passengers_per_km_rail,rail_density,pop_density,gdp_per_km_rail
Denmark,2017,6280.0,2481.0,5748769.0,53200.0,42924.0,438.0,1.4959422,1092.4077833010858,2531237.4042724706,0.05779983226167179,133.92901407138197,21.442966545747684
Denmark,2018,6182.0,2481.0,5781190.0,53920.0,42924.0,447.0,1.5922999999999998,1069.330016830445,2491737.2027408304,0.05779983226167179,134.68432578510857,21.73317210802096
Denmark,2019,6174.0,2536.0,5806081.0,54630.0,42924.0,455.0,1.6078091836734694,1063.367872408256,2434542.5867507886,0.05908116671326065,135.26421116391762,21.54179810725552
Denmark,2020,3940.0,2485.0,5822763.0,53540.0,42924.0,466.0,1.4491033999999998,676.6547084262231,1585513.078470825,0.05789302022178734,135.65285155157954,21.54527162977867
Denmark,2021,4181.0,2485.0,5840045.0,56780.0,42924.0,475.0,1.6712206122448978,715.919141034016,1682494.9698189134,0.05789302022178734,136.05547013325878,22.849094567404425
Denmark,2022,5822.0,2448.0,5873420.0,56530.0,42924.0,472.0,2.088567843137255,991.2453051203557,2378267.9738562093,0.05703103159071848,136.83300717547291,23.09232026143791
Denmark,2023,6031.0,2448.0,5932654.0,56770.0,42924.0,474.0,1.9747351923076921,1016.5770665203129,2463643.790849673,0.05703103159071848,138.2129810828441,23.190359477124183
Denmark,2024,6481.0,2448.0,5961249.0,58670.0,42924.0,478.0,1.9974811726665533,1087.1882721221677,2647467.320261438,0.05703103159071848,138.87915851272015,23.966503267973856
Estonia,2004,193.0,959.0,1366250.0,13980.0,45227.0,347.0,,141.26258005489478,201251.30344108446,0.021204147964711345,30.208724876732926,14.577685088633993
Estonia,2005,248.0,1055.0,1358850.0,15400.0,45227.0,366.0,0.7976869387755102,182.50726717444897,235071.09004739337,0.02332677382979194,30.045105799632964,14.597156398104266
Estonia,2006,257.0,1196.0,1350700.0,17010.0,45227.0,413.0,0.8671183673469387,190.27171096468498,214882.9431438127,0.02644438056912906,29.864903707962057,14.222408026755852
Estonia,2007,274.0,1200.0,1342920.0,18400.0,45227.0,391.0,0.8799930612244897,204.03300271051143,228333.33333333334,0.02653282331350742,29.692882570146153,15.333333333333334
Estonia,2008,274.0,1196.0,1338440.0,17510.0,45227.0,413.0,1.0495228571428572,204.71593795762232,229096.98996655518,0.02644438056912906,29.59382669644239,14.64046822742475
Estonia,2009,249.0,1196.0,1335740.0,14980.0,45227.0,409.0,0.9246460000000001,186.4135235899202,208193.97993311036,0.02644438056912906,29.534127843986997,12.525083612040135
Estonia,2010,247.0,1196.0,1333290.0,15380.0,45227.0,416.0,1.1097244897959184,185.25602082067667,206521.73913043478,0.02644438056912906,29.479956663055255,12.85953177257525
Estonia,2011,243.0,1196.0,1329660.0,16590.0,45227.0,433.0,1.2383061224489795,182.75348585352646,203177.2575250836,0.02644438056912906,29.399694872531896,13.87123745819398
Estonia,2012,235.0,1196.0,1325217.0,17260.0,45227.0,456.0,1.3611836734693876,177.329448686517,196488.29431438126,0.02644438056912906,29.301457094213635,14.431438127090301
Estonia,2013,223.0,1166.0,1320169.0,17630.0,45227.0,478.0,1.3110612244897961,168.91776734645336,191252.14408233276,0.025781059986291373,29.189842350808146,15.120068610634648
Estonia,2014,280.0,1166.0,1315819.0,18280.0,45227.0,497.0,1.2751428571428571,212.7952248751538,240137.22126929674,0.025781059986291373,29.09366086629668,15.677530017152659
Estonia,2015,286.0,1164.0,1313271.0,18650.0,45227.0,514.0,1.1081632653061224,217.77683357052734,245704.46735395188,0.025736838614102194,29.03732283812767,16.022336769759452
Estonia,2016,316.0,1161.0,1315944.0,19190.0,45227.0,534.0,1.05862,240.13179892153465,272179.15590008616,0.02567050655581843,29.096424702058506,16.52885443583118
Estonia,2017,366.0,1161.0,1315635.0,20270.0,45227.0,550.0,1.18536,278.19265981826265,315245.4780361757,0.02567050655581843,29.089592500055275,17.459086993970715
